id	sys	dp	dpe	name	dsc	disable
1	sdku	A_KP_1_ZDV_1	Pin	sdku:A_KP_1_ZDV_1.Pin	КП 1 Задв.1 Давление на входе	0
2	sdku	A_KP_1_ZDV_1	Pout	sdku:A_KP_1_ZDV_1.Pout	КП 1 Задв.1 Давление на выходе	0
3	sdku	A_KP_1_ZDV_1	ToOpen	sdku:A_KP_1_ZDV_1.ToOpen	КП 1 Задв.1 Открыть	0
4	sdku	A_KP_1_ZDV_1	ToClose	sdku:A_KP_1_ZDV_1.ToClose	КП 1 Задв.1 Закрыть	0
5	sdku	A_KP_1_ZDV_1	Opened	sdku:A_KP_1_ZDV_1.Opened	КП 1 Задв.1 Открыта	0
6	sdku	A_KP_1_ZDV_1	Closed	sdku:A_KP_1_ZDV_1.Closed	КП 1 Задв.1 Закрыта	0
7	sdku	A_KP_1_ZDV_1	SetTimeOpen	sdku:A_KP_1_ZDV_1.SetTimeOpen	КП 1 Задв.1 Уставка на открытие	0
8	sdku	A_KP_1_ZDV_1	SetTimeClose	sdku:A_KP_1_ZDV_1.SetTimeClose	КП 1 Задв.1 Уставка на закрытие	0
9	sdku	A_KP_1_ZDV_1	AlmMuf	sdku:A_KP_1_ZDV_1.AlmMuf	КП 1 Задв.1 Авария муфты	0
10	sdku	A_KP_1_ZDV_1	AlmU	sdku:A_KP_1_ZDV_1.AlmU	КП 1 Задв.1 Авария питания	0
11	sdku	A_KP_1_ZDV_2	Pin	sdku:A_KP_1_ZDV_2.Pin	КП 1 Задв.2 Давление на входе	0
12	sdku	A_KP_1_ZDV_2	Pout	sdku:A_KP_1_ZDV_2.Pout	КП 1 Задв.2 Давление на выходе	0
13	sdku	A_KP_1_ZDV_2	ToOpen	sdku:A_KP_1_ZDV_2.ToOpen	КП 1 Задв.2 Открыть	0
14	sdku	A_KP_1_ZDV_2	ToClose	sdku:A_KP_1_ZDV_2.ToClose	КП 1 Задв.2 Закрыть	0
15	sdku	A_KP_1_ZDV_2	Opened	sdku:A_KP_1_ZDV_2.Opened	КП 1 Задв.2 Открыта	0
16	sdku	A_KP_1_ZDV_2	Closed	sdku:A_KP_1_ZDV_2.Closed	КП 1 Задв.2 Закрыта	0
17	sdku	A_KP_1_ZDV_2	SetTimeOpen	sdku:A_KP_1_ZDV_2.SetTimeOpen	КП 1 Задв.2 Уставка на открытие	0
18	sdku	A_KP_1_ZDV_2	SetTimeClose	sdku:A_KP_1_ZDV_2.SetTimeClose	КП 1 Задв.2 Уставка на закрытие	0
19	sdku	A_KP_1_ZDV_2	AlmMuf	sdku:A_KP_1_ZDV_2.AlmMuf	КП 1 Задв.2 Авария муфты	0
20	sdku	A_KP_1_ZDV_2	AlmU	sdku:A_KP_1_ZDV_2.AlmU	КП 1 Задв.2 Авария питания	0
21	sdku	A_KP_1_ZDV_3	Pin	sdku:A_KP_1_ZDV_3.Pin	КП 1 Задв.3 Давление на входе	0
22	sdku	A_KP_1_ZDV_3	Pout	sdku:A_KP_1_ZDV_3.Pout	КП 1 Задв.3 Давление на выходе	0
23	sdku	A_KP_1_ZDV_3	ToOpen	sdku:A_KP_1_ZDV_3.ToOpen	КП 1 Задв.3 Открыть	0
24	sdku	A_KP_1_ZDV_3	ToClose	sdku:A_KP_1_ZDV_3.ToClose	КП 1 Задв.3 Закрыть	0
25	sdku	A_KP_1_ZDV_3	Opened	sdku:A_KP_1_ZDV_3.Opened	КП 1 Задв.3 Открыта	0
26	sdku	A_KP_1_ZDV_3	Closed	sdku:A_KP_1_ZDV_3.Closed	КП 1 Задв.3 Закрыта	0
27	sdku	A_KP_1_ZDV_3	SetTimeOpen	sdku:A_KP_1_ZDV_3.SetTimeOpen	КП 1 Задв.3 Уставка на открытие	0
28	sdku	A_KP_1_ZDV_3	SetTimeClose	sdku:A_KP_1_ZDV_3.SetTimeClose	КП 1 Задв.3 Уставка на закрытие	0
